Store,Product Name,Product Link,Price,Num Reviews,Avg Rating,Calories,Protein (g),Total Num Servings,Serving Size,Serving Size (g)
Myprotein,Myprotein Clear Whey Isolate - MARVEL,https://us.myprotein.com/p/sports-nutrition/myprotein-clear-whey-isolate-marvel/14944142/,39.99,29,4.17,80.0,20.0,20 servings,1 scoop,25.0
Myprotein,Impact Whey Protein,https://us.myprotein.com/p/sports-nutrition/impact-whey-protein/10852500/,19.99,4389,4.48,100.0,19.0,0.55 lb,1 scoop,25.0
Myprotein,Clear Whey Isolate,https://us.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/,39.99,899,4.37,80.0,20.0,1.1 lb,1 scoop,25.0
Myprotein,Clear Whey Isolate (Sample),https://us.myprotein.com/p/sports-nutrition/clear-whey-isolate-sample/12095872/,3.99,53,4.45,80.0,20.0,0.88 oz,1 scoop,25.0
Myprotein,Pea Protein Isolate,https://us.myprotein.com/p/sports-nutrition/pea-protein-isolate/10852589/,34.99,279,3.7,100.0,21.0,2.2 lb,1 scoop,25.0
Myprotein,Whey Forward,https://us.myprotein.com/p/sports-nutrition/whey-forward/13625704/,29.99,165,3.87,90.0,20.0,20 servings,1 scoop,25.2
Myprotein,Impact Whey Isolate,https://us.myprotein.com/p/sports-nutrition/impact-whey-isolate/10852482/,29.99,2427,4.38,110.0,25.0,0.55 lb,1 scoop,29.0
Myprotein,Clear Whey MIKE AND IKE Flavors,https://us.myprotein.com/p/sports-nutrition/clear-whey-mike-and-ike-flavors/13121847/,39.99,210,4.52,90.0,20.0,20 servings,1 scoop,26.3
Myprotein,Myprotein Clear Whey Isolate - MARVEL (Sample),https://us.myprotein.com/p/sports-nutrition/myprotein-clear-whey-isolate-marvel-sample/15368064/,3.99,5,3.4,80.0,20.0,1 serving,1 sachet,25.0
Myprotein,Weight Gainer Blend,https://us.myprotein.com/p/sports-nutrition/weight-gainer-blend/10852477/,54.99,87,3.63,365.0,27.0,5.5 lb,3.33 scoops,100.0
Myprotein,THE Plant Protein,https://us.myprotein.com/p/sports-nutrition/the-plant-protein/12061084/,54.99,102,3.77,160.0,25.0,2.54 lb,1 scoop,41.8
Myprotein,Slow-Release Casein,https://us.myprotein.com/p/sports-nutrition/slow-release-casein/11092497/,59.99,337,4.06,110.0,23.0,2.2 lb,1 scoop,30.0
Myprotein,Collagen Protein,https://us.myprotein.com/p/sports-nutrition/collagen-protein/11111072/,29.99,76,3.72,40.0,18.0,0.55 lb,2 scoops,20.0
Myprotein,Clear Whey MIKE AND IKE Flavors (Sample),https://us.myprotein.com/p/sports-nutrition/clear-whey-mike-and-ike-flavors-sample/12442631/,3.99,42,4.6,90.0,20.0,0.88 oz,1 scoop,26.3
Myprotein,Impact Protein Blend,https://us.myprotein.com/p/sports-nutrition/impact-protein-blend/11181407/,49.99,258,4.19,130.0,21.0,2.2 lb,1 scoop,30.0
Myprotein,Soy Protein Isolate,https://us.myprotein.com/p/sports-nutrition/soy-protein-isolate/10852597/,39.99,198,4.03,110.0,26.0,2.2 lb,1 scoop,30.0
Myprotein,Vegan Protein Blend,https://us.myprotein.com/p/sports-nutrition/vegan-protein-blend/10852638/,39.99,175,3.83,120.0,27.0,2.2 lb,1 scoop,35.0
Myprotein,Origin Protein,https://us.myprotein.com/p/sports-nutrition/origin-protein/15294393/,39.99,6,3.67,160.0,30.0,15 servings,2 scoops,45.5
Myprotein,THE Whey,https://us.myprotein.com/p/sports-nutrition/the-whey/11371420/,3.99,6,5.0,120.0,25.0,1.2 oz,1 scoop,32.0
Myprotein,Origin Protein Sample,https://us.myprotein.com/p/sports-nutrition/origin-protein-sample/15356253/,3.99,1,,170.0,30.0,1 serving,2 packets,49.0
Myprotein,Impact Whey Isolate (Sample),https://us.myprotein.com/p/sports-nutrition/impact-whey-isolate-sample/11401141/,3.99,15,5.0,110.0,22.0,0.9 oz,1 scoop,25.0
Myprotein,THE Whey (NSF),https://us.myprotein.com/p/sports-nutrition/the-whey-nsf/13166492/,54.99,35,4.26,90.0,20.0,30 servings,1 scoop,27.9
Myprotein,Impact Whey Protein (Sample),https://us.myprotein.com/p/sports-nutrition/impact-whey-protein-sample/10902384/,3.49,25,4.56,100.0,19.0,0.9 oz,1 scoop,25.0
Myprotein,THE Whey,https://us.myprotein.com/p/sports-nutrition/the-whey/11360197/,54.99,216,4.63,130.0,25.0,30 servings,1 scoop,34.9
